
2025/04/02 (19:39:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (22:55:43) | ===> btop++ v.1.4.0
2025/04/02 (22:55:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (22:03:12) | ===> btop++ v.1.4.0
2025/04/04 (22:03:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (19:31:31) | ===> btop++ v.1.4.0
2025/04/05 (19:31:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (21:24:23) | ===> btop++ v.1.4.0
2025/04/05 (21:24:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (21:31:35) | ===> btop++ v.1.4.0
2025/04/05 (21:31:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/05 (21:31:47) | ERROR: Stall in Runner thread, restarting!

2025/04/05 (21:39:00) | ===> btop++ v.1.4.0
2025/04/05 (21:39:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (21:44:23) | ===> btop++ v.1.4.0
2025/04/05 (21:44:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (23:39:35) | ===> btop++ v.1.4.0
2025/04/05 (23:39:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (23:43:44) | ===> btop++ v.1.4.0
2025/04/05 (23:43:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (12:20:37) | ===> btop++ v.1.4.0
2025/04/06 (12:20:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (12:59:07) | ===> btop++ v.1.4.0
2025/04/06 (12:59:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (23:14:20) | ===> btop++ v.1.4.0
2025/04/25 (23:14:20) | WARNING: Intel GPU: Failed to initialize PMU
